"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4";"Reset_Pretty-Mask";1;"AVR-ISP-6";;;
2;"SW2";"RotaryEncoder_EC11";1;"RotaryEncoder_Switch";;;
3;"D62,D77,D46,D66,D32,D27,D79,D43,D65,D49,D42,D165,D64,D8,D61,D73,D81,D41,D69,D50,D1,D52,D34,D37,D14,D58,D76,D21,D45,D51,D31,D68,D2,D25,D10,D67,D30,D35,D23,D38,D6,D47,D9,D15,D57,D53,D59,D72,D11,D13,D12,D54,D80,D60,D28,D74,D16,D56,D17,D22,D33,D5,D24,D26,D48,D4,D44,D63,D3,D70,D40,D36,D78,D39,D20,D82,D7,D71,D18,D55,D19,D29,D75";"D_SOD-123";83;"1N4148W";;;
4;"D160,D126,D150,D96,D119,D147,D87,D109,D152,D105,D146,D110,D133,D85,D159,D88,D162,D90,D144,D134,D138,D84,D129,D132,D153,D83,D135,D145,D89,D141,D118,D108,D91,D104,D113,D137,D155,D98,D128,D157,D94,D151,D140,D107,D103,D149,D131,D114,D102,D148,D122,D116,D100,D115,D95,D86,D130,D111,D156,D120,D123,D93,D158,D117,D136,D106,D112,D161,D92,D101,D125,D164,D121,D139,D99,D124,D154,D143,D127,D142,D163,D97";"SK6812-MINI-E";82;"SK6812";;;
5;"C4,C6,C5";"C_0805_2012Metric";3;"0.1uF";;;
6;"C7";"C_0805_2012Metric";1;"10uF";;;
7;"MXr1";"MX-Hotswap-1U";1;"K2_4";;;
8;"MXx1";"MX-Hotswap-1U";1;"K4_2";;;
9;"MXlshift1";"MX-Hotswap-2.25U";1;"K4_0";;;
10;"MXend1";"MX-Hotswap-1U";1;"K5_10";;;
11;"MXspace1";"MX-Hotswap-6.25U-ReversedStabilizers";1;"K5_3";;;
12;"MXrshift1";"MX-Hotswap-1.75U";1;"K4_11";;;
13;"MX;1";"MX-Hotswap-1U";1;"K3_10";;;
14;"MX.1";"MX-Hotswap-1U";1;"K4_9";;;
15;"MXh1";"MX-Hotswap-1U";1;"K3_6";;;
16;"R1,R8";"R_0805_2012Metric";2;"10k";;;
17;"C1,C2";"C_0805_2012Metric";2;"22pF";;;
18;"C3";"C_0805_2012Metric";1;"1uF";;;
19;"MXq1";"MX-Hotswap-1U";1;"K2_1";;;
20;"MX1";"MX-Hotswap-1U";1;"K1_1";;;
21;"MX\1";"MX-Hotswap-1.5U";1;"K2_13";;;
22;"MXbksp1";"MX-Hotswap-2U";1;"K1_13";;;
23;"MXa1";"MX-Hotswap-1U";1;"K3_1";;;
24;"MXb1";"MX-Hotswap-1U";1;"K4_5";;;
25;"MXj1";"MX-Hotswap-1U";1;"K3_7";;;
26;"SW1";"SW_SPST_TL3342";1;"Reset";;;
27;"MX0";"MX-Hotswap-1U";1;"K1_10";;;
28;"F9";"MX-Hotswap-1U";1;"K0_9";;;
29;"MXhome1";"MX-Hotswap-1U";1;"K5_11";;;
30;"MXv1";"MX-Hotswap-1U";1;"K4_4";;;
31;"MXalt1";"MX-Hotswap-1.25U";1;"K5_2";;;
32;"MX4";"MX-Hotswap-1U";1;"K1_4";;;
33;"MXn1";"MX-Hotswap-1U";1;"K4_6";;;
34;"MX/1";"MX-Hotswap-1U";1;"K4_10";;;
35;"MXright1";"MX-Hotswap-1U";1;"K5_9";;;
36;"MXw1";"MX-Hotswap-1U";1;"K2_2";;;
37;"MXtilde1";"MX-Hotswap-1U";1;"K1_0";;;
38;"MXleft1";"MX-Hotswap-1U";1;"K5_7";;;
39;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-AU";;;
40;"F5";"MX-Hotswap-1U";1;"K0_5";;;
41;"MX5";"MX-Hotswap-1U";1;"K1_5";;;
42;"MXralt1";"MX-Hotswap-1U";1;"K5_4";;;
43;"MXup1";"MX-Hotswap-1U";1;"K4_12";;;
44;"MX3";"MX-Hotswap-1U";1;"K1_3";;;
45;"MXu1";"MX-Hotswap-1U";1;"K2_7";;;
46;"MXd1";"MX-Hotswap-1U";1;"K3_3";;;
47;"MXk1";"MX-Hotswap-1U";1;"K3_8";;;
48;"F7";"MX-Hotswap-1U";1;"K0_7";;;
49;"MXi1";"MX-Hotswap-1U";1;"K2_8";;;
50;"MXpgdn1";"MX-Hotswap-1U";1;"K5_12";;;
51;"F2";"MX-Hotswap-1U";1;"K0_2";;;
52;"MXpgup1";"MX-Hotswap-1U";1;"K4_13";;;
53;"F3";"MX-Hotswap-1U";1;"K0_3";;;
54;"R7,R6";"R_0805_2012Metric";2;"22";;;
55;"MXg1";"MX-Hotswap-1U";1;"K3_5";;;
56;"MX2";"MX-Hotswap-1U";1;"K1_2";;;
57;"MXz1";"MX-Hotswap-1U";1;"K4_1";;;
58;"MXt1";"MX-Hotswap-1U";1;"K2_5";;;
59;"J2";"Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal";1;"Conn_01x04";;;
60;"MX'1";"MX-Hotswap-1U";1;"K3_11";;;
61;"F4";"MX-Hotswap-1U";1;"K0_4";;;
62;"F10";"MX-Hotswap-1U";1;"K0_10";;;
63;"MXrctrl1";"MX-Hotswap-1U";1;"K5_6";;;
64;"FU2";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"500mA";;;
65;"MXs1";"MX-Hotswap-1U";1;"K3_2";;;
66;"F12";"MX-Hotswap-1U";1;"K0_12";;;
67;"MX-1";"MX-Hotswap-1U";1;"K1_11";;;
68;"MX[1";"MX-Hotswap-1U";1;"K2_11";;;
69;"F6";"MX-Hotswap-1U";1;"K0_6";;;
70;"MXdown1";"MX-Hotswap-1U";1;"K5_8";;;
71;"MXl1";"MX-Hotswap-1U";1;"K3_9";;;
72;"F8";"MX-Hotswap-1U";1;"K0_8";;;
73;"MXfn1";"MX-Hotswap-1U";1;"K5_5";;;
74;"MX,1";"MX-Hotswap-1U";1;"K4_8";;;
75;"F11";"MX-Hotswap-1U";1;"K0_11";;;
76;"MXe1";"MX-Hotswap-1U";1;"K2_3";;;
77;"MXctrl1";"MX-Hotswap-1.25U";1;"K5_0";;;
78;"F1";"MX-Hotswap-1U";1;"K0_1";;;
79;"MXf2";"MX-Hotswap-1U";1;"K3_4";;;
80;"MXm1";"MX-Hotswap-1U";1;"K4_7";;;
81;"MX]1";"MX-Hotswap-1U";1;"K2_12";;;
82;"MXenter1";"MX-Hotswap-2.25U-ReversedStabilizers";1;"K3_12";;;
83;"MX+1";"MX-Hotswap-1U";1;"K1_12";;;
84;"MX9";"MX-Hotswap-1U";1;"K1_9";;;
85;"MXtab1";"MX-Hotswap-1.5U";1;"K2_0";;;
86;"MXy1";"MX-Hotswap-1U";1;"K2_6";;;
87;"MX8";"MX-Hotswap-1U";1;"K1_8";;;
88;"MXcaps1";"MX-Hotswap-1.75U";1;"K3_0";;;
89;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16Mhz";;;
90;"MXp1";"MX-Hotswap-1U";1;"K2_10";;;
91;"MXo1";"MX-Hotswap-1U";1;"K2_9";;;
92;"F13";"MX-Hotswap-1U";1;"K0_13";;;
93;"MXc1";"MX-Hotswap-1U";1;"K4_3";;;
94;"MX6";"MX-Hotswap-1U";1;"K1_6";;;
95;"MX7";"MX-Hotswap-1U";1;"K1_7";;;
96;"MXsuper1";"MX-Hotswap-1.25U";1;"K5_1";;;
97;"ESC1";"MX-Hotswap-1U";1;"K0_0";;;
