Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric",231.500000,-192.950000,90.000000,bottom
"C2","22pF","C_0805_2012Metric",221.250000,-192.800000,-90.000000,bottom
"C3","1uF","C_0805_2012Metric",224.050000,-186.950000,0.000000,bottom
"C4","0.1uF","C_0805_2012Metric",199.500000,-196.450000,-90.000000,bottom
"C5","0.1uF","C_0805_2012Metric",220.050000,-197.500000,0.000000,bottom
"C6","0.1uF","C_0805_2012Metric",198.950000,-185.000000,180.000000,bottom
"C7","10uF","C_0805_2012Metric",219.250000,-182.200000,90.000000,bottom
"D1","1N4148W","D_SOD-123",71.500000,-91.150000,90.000000,bottom
"D2","1N4148W","D_SOD-123",94.500000,-91.150000,90.000000,bottom
"D3","1N4148W","D_SOD-123",113.500000,-91.150000,90.000000,bottom
"D4","1N4148W","D_SOD-123",132.500000,-91.150000,90.000000,bottom
"D5","1N4148W","D_SOD-123",151.500000,-91.150000,90.000000,bottom
"D6","1N4148W","D_SOD-123",175.500000,-91.650000,90.000000,bottom
"D7","1N4148W","D_SOD-123",70.500000,-115.650000,90.000000,bottom
"D8","1N4148W","D_SOD-123",90.000000,-115.650000,90.000000,bottom
"D9","1N4148W","D_SOD-123",109.000000,-115.650000,90.000000,bottom
"D10","1N4148W","D_SOD-123",128.000000,-115.650000,90.000000,bottom
"D11","1N4148W","D_SOD-123",147.000000,-115.650000,90.000000,bottom
"D12","1N4148W","D_SOD-123",166.000000,-115.650000,90.000000,bottom
"D13","1N4148W","D_SOD-123",75.500000,-134.650000,90.000000,bottom
"D14","1N4148W","D_SOD-123",99.000000,-134.650000,90.000000,bottom
"D15","1N4148W","D_SOD-123",118.000000,-134.650000,90.000000,bottom
"D16","1N4148W","D_SOD-123",137.000000,-135.150000,90.000000,bottom
"D17","1N4148W","D_SOD-123",156.500000,-134.650000,90.000000,bottom
"D18","1N4148W","D_SOD-123",175.500000,-134.650000,90.000000,bottom
"D19","1N4148W","D_SOD-123",78.000000,-153.650000,90.000000,bottom
"D20","1N4148W","D_SOD-123",103.850000,-153.650000,90.000000,bottom
"D21","1N4148W","D_SOD-123",123.000000,-153.500000,90.000000,bottom
"D22","1N4148W","D_SOD-123",142.000000,-153.650000,90.000000,bottom
"D23","1N4148W","D_SOD-123",161.000000,-153.650000,90.000000,bottom
"D24","1N4148W","D_SOD-123",180.000000,-153.650000,90.000000,bottom
"D25","1N4148W","D_SOD-123",82.500000,-172.650000,90.000000,bottom
"D26","1N4148W","D_SOD-123",113.500000,-172.650000,90.000000,bottom
"D27","1N4148W","D_SOD-123",132.500000,-172.650000,90.000000,bottom
"D28","1N4148W","D_SOD-123",194.500000,-91.650000,90.000000,bottom
"D29","1N4148W","D_SOD-123",213.500000,-91.650000,90.000000,bottom
"D30","1N4148W","D_SOD-123",232.500000,-91.650000,90.000000,bottom
"D31","1N4148W","D_SOD-123",256.500000,-91.650000,90.000000,bottom
"D32","1N4148W","D_SOD-123",275.500000,-91.650000,90.000000,bottom
"D33","1N4148W","D_SOD-123",294.500000,-91.650000,90.000000,bottom
"D34","1N4148W","D_SOD-123",313.500000,-91.650000,90.000000,bottom
"D35","1N4148W","D_SOD-123",337.500000,-91.650000,90.000000,bottom
"D36","1N4148W","D_SOD-123",204.000000,-115.650000,90.000000,bottom
"D37","1N4148W","D_SOD-123",223.000000,-115.650000,90.000000,bottom
"D38","1N4148W","D_SOD-123",242.000000,-115.650000,90.000000,bottom
"D39","1N4148W","D_SOD-123",261.333628,-115.420855,90.000000,bottom
"D40","1N4148W","D_SOD-123",280.500000,-115.650000,90.000000,bottom
"D41","1N4148W","D_SOD-123",299.500000,-115.650000,90.000000,bottom
